Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_Time(s)
LinearRegression,0.440632625572143,0.4458578584667513,30.17470776965732,34.21358981332882,21.299675463561478,23.677620549159425,0.0009949207305908203
Ridge,0.44061504004517404,0.44669721717713873,30.17518208581429,34.18766834363852,21.29459130555336,23.658908730384283,0.0019989013671875
Lasso,0.43925297992558776,0.4461379662748892,30.211896894376117,34.20494157643687,21.26065076845735,23.51118674440869,0.0010030269622802734
ElasticNet,0.3846662366472495,0.4164072990756472,31.648263036510613,35.11098236399288,21.80629060559634,23.768147677562837,0.0020008087158203125
SVR,0.18188017971398862,0.16756118492952454,36.49244514462228,41.93379967130406,20.841051309121465,25.599203703379228,0.0030012130737304688
KNN,0.6586597343231042,0.672019767137978,23.571556857427275,26.321576051856365,14.740243902439024,17.570731707317073,0.001001119613647461
DecisionTree,0.8047382604012128,0.7111998831154288,17.828018816910667,24.699418984784664,9.405662020905922,13.199825783972127,0.0009996891021728516
RandomForest,0.7919846572218667,0.7695657400018464,18.401032446668463,22.062848319911875,10.805196023448255,14.425748077323918,0.07500123977661133
GradientBoosting,0.7803906914370808,0.7503281930696529,18.90688048860294,22.965336173227684,11.955389004858436,13.715966691018687,0.030001163482666016
AdaBoost,0.697997680494418,0.7364067855628151,22.171733304820233,23.596911735524955,15.598885662666149,17.33870434894825,0.009000301361083984
